S. No,Description,Average Price,% Change,Cities,Value,Month
1,Wheat Flour Bag 20 Kg,944.44,4.19,Islam-abad,942.21,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Rawal-pindi,906.56,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Gujran-wala,812.97,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Sialkot,810,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Lahore,808,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Faisal-abad,807,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Sar-godha,806.2,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Multan,842.06,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Baha-walpur,806.8,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Karachi,1197.67,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Hyder-abad,1163.18,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Sukkur,1052.94,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Larkana,1030.32,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Pesha-war,1025.03,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Bannu,1099.89,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Quetta,1105.5,1/1/2020
1,Wheat Flour Bag 20 Kg,944.44,4.19,Khuz-dar,999.98,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Islam-abad,101.52,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Rawal-pindi,92.86,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Gujran-wala,76.63,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Sialkot,72.96,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Lahore,74.71,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Faisal-abad,90,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Sar-godha,73.19,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Multan,88.18,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Baha-walpur,63.16,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Karachi,90.99,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Hyder-abad,92.4,1/1/2020
2,Rice Basmati Broken (Average Quality) 1 Kg,81.57,-0.33,Sukkur,63.16,1/1/2020
